Protein.Ids	-LOG(P-value)	log2FC(dCvsCtrl)
A0A075B5J5	0.8866631593736154	-0.57574240366618
A0A075B5P4	0.8051153389320734	-1.19764518737793
A0A087WQY5	0.6397908227954627	-0.292524973551433
A0A3B2W7J0	0.88584749554168	-0.208569844563801
A0A087WNZ7	0.841752295339926	0.277368545532227
A0A087WP48	0.437404500943724	-2.65016269683838
A0A087WQ02	0.8889116229087476	-0.492616653442383
E9QNN1	0.8492531395573889	-0.47033373514811
A0A087WQ46	0.6264792038709291	-2.03271071116129
A0A087WQ89	0.9326574944277661	0.434445063273113
A0A087WQB0	0.9780859739871982	0.0367507934570313
A0A087WQS0	0.9639372482541286	-0.107909520467121
E9Q0T8	0.9933345423645895	0.0722252527872715
A0A0A6YXR1	0.8923935169584636	0.740368525187174
F2Z4A3	0.8968560228358017	0.414108594258627
E9Q981	0.6228944441560308	-0.968689918518066
Q3TE80	0.7337013554057517	1.34063212076823
A0A0A0MQH5	0.7294860879998482	0.671649932861328
Q80WR5	0.975617831874036	0.0583337148030587
A0A0A6YVZ3	0.8993927626455698	-0.640658696492512
A0A0A6YW80	0.689361108350845	1.63866551717122
Q8K1M3	0.9164386512033705	0.650031725565594
P01631	0.8963920646425414	-0.673633575439453
A0A0G2JFV5	0.4348302083931962	0.82403310139974
A0A0G2JDS8	0.9130890127795696	-0.186734517415367
A0A0G2JEI9	0.7304887325459308	-0.313016573588055
Q9CXL3	0.6729891428746623	-0.398686726888023
A0A1D5RLX6	0.8952084112010766	0.101446151733398
Q3UY26	0.8843409140570241	-0.142119725545246
A0A0G2JFF1	0.9639005696715769	0.166063944498699
A0A0G2JFL4	0.9000770098805387	-0.228799819946289
A0A0G2JGA3	0.923369231981537	0.3320156733195
A0A0J9YTR2	0.9041791941658246	0.485005060831705
B9EJ54	0.873505994646684	0.126841862996422
A0A571BEB1	0.9226529124412411	-0.241073608398438
A0A0N4SUU0	0.9939292995208946	-0.0303961435953788
