Protein.Ids	-LOG(P-value)	log2FC(WT_CvsCtrl)
A0A075B5J5	0.9090027814224834	0.385006984074909
A0A075B5P4	0.8986417610810545	0.245819886525473
A0A087WQY5	0.6794167727725434	-0.38031005859375
A0A3B2W7J0	0.9802590406732897	-0.113969643910725
A0A087WNZ7	0.84178160859221	-0.422006924947102
A0A087WP48	0.9759484439462595	0.114391167958578
A0A087WQ02	0.5403606239534919	1.74658091862996
E9QNN1	0.9326075667464626	0.150689125061035
A0A087WQ46	0.5494620385465622	-0.999399185180664
A0A087WQ89	0.9573708698836683	0.227253675460815
A0A087WQB0	0.5618341940342386	-1.38698514302571
A0A087WQS0	0.5573261679604454	-1.23718738555908
E9Q0T8	0.9974594620163005	0.0220956007639579
A0A0A6YXR1	0.9885536834549828	0.0442551771799717
F2Z4A3	0.9770425870576689	-0.100138107935589
E9Q981	0.816168717276844	-0.357234319051106
Q3TE80	0.8891409727092693	0.737696568171184
A0A0A0MQH5	0.5037657446576437	1.33709867795308
Q80WR5	0.9482294139576024	-0.0796674092610665
A0A0A6YVZ3	0.5575313491131474	3.31846602757772
O09174	0.028484986570025014	4.61323014895121
Q8K1M3	0.872436942482138	0.577349901199341
P01631	0.6416619765992543	1.50538738568624
A0A0G2JFV5	0.9691650497142268	-0.0878856182098389
A0A0G2JDS8	0.8497231425167255	-0.356486002604168
A0A0G2JEI9	0.897951591385348	-0.490020036697388
Q9CXL3	0.5208415260552929	1.23662821451823
A0A1D5RLX6	0.4401920104937421	-1.36807505289714
Q3UY26	0.7910686522516217	-0.380919218063354
A0A0G2JFF1	0.6556423688049335	-0.719393253326416
A0A0G2JFL4	0.6163446039399612	-1.2420179049174
A0A0G2JGA3	0.9487517462529036	0.279275099436441
A0A0J9YTR2	0.8963649760088312	0.221724828084309
B9EJ54	0.8946592560265714	-0.24426492055257
A0A571BEB1	0.8018811063865565	0.864738782246908
A0A0N4SUU0	0.8619535621880934	-0.48721162478129
Q61464	0.8483550222717238	-0.868643204371136
A0A0N4SVS6	0.9765108505012172	-0.101104100545248
A0A0N4SVT8	0.8527225486523909	0.187988440195719
A0A0R4IZY9	0.7576792421058894	1.17860237757365
A2T4N6	0.7976204394926771	-0.986699183781942
Z4YLI8	0.8287760334926465	0.930337031682333
Q6A000	0.6440660994982983	0.489798466364542
A0A0U1RNF2	0.44115916835731817	1.52492920557658
A0A0U1RP81	0.8955711627490771	-0.382353862126667
A0A0U1RPA0	0.9042397414600071	-0.483148097991943
A0A140LI34	0.8387096108709197	0.919984022776287
A0A140LIU8	0.8659792761134452	0.466579357782999
A0A1B0GR85	0.7033390647896134	-1.36005608240763
A0A1B0GR91	0.4353560479607578	1.89259998003642
A0A1B0GRE8	0.7940115941881174	-0.785238265991211
A0A1B0GRI2	0.7000628058017976	-0.933640162150065
A0A1B0GRY7	0.9408981272863923	0.327142159144085
A0A1B0GSB8	0.9457254802067095	0.34545906384786
A0A2I3BPT2	0.5994160004655917	1.7018739382426
A0A1B0GSQ3	0.6833109760254575	1.64373898506165
Q9D483	0.9999698758035135	-4.75247700997272e-05
A0A1D5RLD6	0.8101226850119537	0.699711402257284
E9PWT1	0.8218370508619691	-0.496709664662678
A0A1L1SQU8	0.9636933105638289	0.139099359512329
Q8CDM9	0.910914445528423	0.555559317270914
A0A1L1SRP4	0.6958802027992926	2.02642353375753
A0A1L1SUH2	0.9860272421680256	0.0978492101033517
A0A1N9PTV1	0.8719050152704111	0.742431799570721
E9Q374	0.6330419655467606	-0.535999298095703
Q8VCZ6	0.09718303762952037	4.31326945622762
A0A1W2P7Q6	0.8157512853764969	0.715519905090332
B1AUE5	0.3549198468379429	4.2106073697408
A0A1Y7VIR0	0.698980680283631	0.766890207926432
A0A1Y7VKG2	0.78759268161042	0.601049264272055
A0A1Y7VNG9	0.5822474004141002	1.24432182312012
A0A1Y7VNA8	0.7181671410115097	-0.737606287002563
A0A1Y7VNF0	0.7087944390505616	1.11262671152751
A0A1Y7VNZ0	0.8326333497261708	0.195258458455402
A0A1Y7VP67	0.5569349526262805	-1.22094186147054
E9Q4K7	0.8975449056694729	0.107313791910808
A0A286YCX6	0.9258842135612076	-0.342962900797525
A0A286YCY3	0.769578672400598	0.863054672876995
A0A286YDI8	0.5783767163839768	1.69341500600179
E9QAP7	0.8235729444506598	-0.586098829905191
G5E8C2	0.5726158982682763	1.43329389890035
A0A2I3BRL0	0.8028712068676982	0.853129545847576
A0A2I3BR92	0.6830519680144465	1.07611163457235
A0A2I3BRM6	0.5526441660711752	-0.743114789326984
A0A2R8VHP3	0.7430387987799759	1.61822017033895
A0A338P6D0	0.592917319143048	-0.626093784968058
A0A338P6Q3	0.8507759428649736	-0.728015184402466
Q3TJM4	0.9999836169980971	-4.60942586251178e-05
A2BIE1	0.9649508759355214	-0.200368563334148
A0A384DV79	0.6509428939491629	-0.623285293579102
F7DAL6	0.886729549703572	0.369405269622803
A0A3B2W824	0.9784293524580341	-0.0253505706787109
A0A3B2WBJ0	0.719050680664894	0.64715830485026
A0A3B2WCF4	0.7236807819605815	0.544382413228352
A0A3Q4EBZ2	0.8873244652892707	-0.306437253952026
Q5XFZ0	0.9943017723869939	-0.015776475270588
A0A494BAG5	0.8856423522081844	-0.314849058787029
A0A494B9Q2	0.8114873357529383	-1.33853006362915
A0A494B9V8	0.845583251739486	0.483686049779257
A0A494BA02	0.41893823726460316	1.78456536928813
A0A494BB10	0.6446102248920744	1.19790204366048
A0A571BF12	0.4737193825402704	-0.907906850179035
Q9CXE2	0.35487645867661016	-4.40452814102173
A0A571BFB2	0.8201418673889178	0.366264184315998
Q3UGX8	0.8301920768559639	0.44810708363851
A0A5F8MPP0	0.5148934990954513	2.33765363693237
A0A5H1ZRL3	0.5946667842386664	1.23728116353353
Q9ESJ4	0.40267066100926124	4.08777244885762
A0AUP1	0.6835143747641169	0.338271061579388
A2A3V1	0.6616247639608174	-0.914218425750732
A2A432	0.8618701215043117	-0.265796979268391
Q3U1M7	0.4875150011379916	-1.66930532455444
A2A4P0	0.7803295897075684	-0.446023782094318
A2A5R2	0.7642350209676109	0.767703851064047
V9GX87	0.888536096941176	0.554956674575806
A2A5Y4	0.8025837310189117	-0.802432298660278
A2A601	0.9613155756340974	0.106653054555258
A2A655	0.8594443981506481	0.715987046559651
A2A690	0.8304354177477258	0.912246068318684
A2A699	0.8832286721259732	-0.285587469736736
A2A6A1	0.965412088811101	0.15447171529134
A2A6H1	0.6326492082061073	1.2911864121755
A2A6Q5	0.7983677363835797	-0.955188194910686
A2A791	0.8443384960958342	-0.280692100524902
A2A799	0.7686370593369315	0.395645221074423
B1ASQ7	0.8699384411973179	0.406296253204346
A2A7B5	0.9813808477221977	-0.0365848541259766
E9Q532	0.7721106262074084	-0.326864560445149
A2A7I1	0.984112208463332	-0.051581223805746
Q91WQ3	0.5110923590391888	-0.294022560119629
A2A7S8	0.7927241283911134	1.06241091092427
A2A9J5	0.9691344782926622	0.0625225702921561
Q9QZK2	0.116830162168237	3.99943772951762
A2A8L5	0.9317264773490527	0.224213282267252
A2A8U2	0.7276428335912997	0.376947561899822
A2A8Z1	0.599899984546843	1.15488862991333
A2A9R3	0.5807973175484663	1.66840656598409
A2ABV5	0.643336520094757	-0.355927149454754
A2ACJ2	0.860737958626254	0.819269021352131
A2ACQ1	0.9405423883912853	0.127676963806152
A2ADA5	0.7455147297128739	-0.536866108576456
A2ADY9	0.7789814945748385	0.927353541056315
A2AEY2	0.9463364048919258	0.229752461115519
A2AFI6	0.45800943530890353	1.3520036538442
A2AG06	0.946106850350304	0.142122586568197
A2AG58	0.7894795194199979	0.288509209950764
A2AGH6	0.7644778509874338	-0.718342304229736
A2AGT5	0.9319616922670426	0.128321965535481
A2AH22	0.6385162322830783	0.677286148071289
A2AHC3	0.9952686677915352	0.0156960487365723
A2AHJ4	0.8042112938452656	-0.39484151204427
A2AI08	0.7944584744791284	0.378605604171753
A2AIE6	0.7965309441777347	0.889365911483765
A2AIV2	0.7547292622433429	-0.532295385996502
F6W2V3	0.8740343944154902	-0.370044231414795
A2AJI0	0.6084780709379918	-0.804025014241537
A2AJK6	0.42830988639421264	-0.773684501647949
A2AKX3	0.991246304222346	0.0129772822062186
A2AL36	0.8007460017958179	0.623157819112143
A2ALK8	0.9858342882144967	-0.0500562191009521
A2ALU4	0.948461917875644	0.172500451405842
A2ALW2	0.7629284911717226	0.739893515904743
A2AM05	0.45746402819040993	2.94551173845927
A2AM29	0.6423848036019184	1.29287052154541
A2AN08	0.716362541631059	0.720930258433025
F6XWQ4	0.8814315340450757	0.30600905418396
J3QMC5	0.8505997713636819	0.274141947428387
A2APB8	0.7274539383128535	-0.838589986165363
A2AQ14	0.9730216952385394	0.0580822626749686
A2AQ19	0.900062116564696	-0.660325845082602
A2AQ25	0.9315168009798315	-0.189624786376953
A2AQH4	0.8870565808466458	-0.295958518981934
A2AQN0	0.9572199227209335	-0.159285465876261
A2AR02	0.8591994296600359	-0.410117626190186
Q08BU3	0.6763654065358702	1.60196161270142
P47802	0.25879930949437385	3.97336490948995
A2ARW5	0.8860163451722487	-0.380945444107056
A2ARW1	0.8785665016421866	0.514553070068359
A2ARW3	0.9357612677145953	0.166402180989582
A2ASQ1	0.6312227003237793	1.79720377922058
A2ASS6	0.6612377483826907	1.06288623809814
A2AT37	0.43349195341961033	0.735145886739094
A2ATU0	0.6232883121277264	1.24737890561422
A2ATY4	0.90703745253734	-0.669639190038044
A2AU83	0.6603616491287279	0.452398459116619
