Protein.Ids	-LOG(P-value)	log2FC_WT_dCvsCtrl
E9QAP7	0.9999997291812134	9.5367431640625e-07
P70122	0.11192111436857861	6.71786832809448
Q8CDG5	0.5892837125800576	6.3618586063385
Q69ZF8	0.02875639799577339	-6.1838641166687
Q9Z2K1	0.6214188850568685	5.71234440803528
Q62520	0.06288795233816055	-5.51522302627563
Q6PIC6	0.12686825514321048	5.49960041046143
Q923P0	0.3807925048560312	5.48986268043518
L7N462	0.5754752441477454	5.44183421134949
Q6P9L6	0.340188317943957	5.38025498390198
Q9DCJ5	0.4236501693688078	5.23497462272644
Q8K1J6	0.37379621145454195	5.18656468391418
O08808	0.24398269253697535	5.18260717391968
P08030	0.42282804340379976	5.13223147392273
P70349	0.41655840062928096	5.12365579605103
Q9DBR7	0.22324347923524743	-5.07133007049561
P58774	0.35039487021187443	5.04641318321228
Q8VED5	0.5485973844438357	5.02055287361145
Q7TPC1	0.5730435081483799	4.96519780158997
Q8CFA2	0.4489368711206974	4.94227504730225
P0DP27	0.32684655867863416	4.90448188781738
Q8R2U6	0.16666767144201614	4.89633774757385
Q9CZU6	0.46532068060991155	4.87757587432861
P26040	0.41401552425488947	4.85588002204895
Q9JK81	0.30617467218457967	4.83097338676453
Q9JII6	0.3759734528158559	4.78160452842712
O70475	0.3280985272698707	4.7470109462738
Q8VCM8	0.5372090185662926	4.74620246887207
Q61823	0.3526349744982859	4.70555186271667
Q8C3I8	0.20978437773086386	4.70350289344788
P11438	0.44293052295869867	4.70211982727051
Q8BTS4	0.12759795390312206	-4.67559719085693
Q91Z53	0.1923398258589949	4.67420172691345
P30681	0.09237733257023352	-4.66181373596191
P18155	0.2747382586675047	4.6572597026825
Q3UL36	0.14677124781241396	-4.64068126678467
P01837	0.5146579213880439	4.60167217254639
Q9ER05	0.0924180467365941	4.59790086746216
P17156	0.2570310838459827	4.56488180160522
Q9CXE2	0.23382067833711387	-4.5445728302002
P20108	0.29496571571182345	4.51708483695984
P61027	0.22926138307311644	4.51659631729126
P07607	0.26183942037963365	4.50813484191895
Q6PAT0	0.21747249966688337	4.48710370063782
Q9D1C1	0.32983124567486655	4.45080661773682
P47809	0.30697115811249964	4.43648147583008
Q9Z331	0.5801698672393019	4.42250871658325
Q6ZQJ5	0.4285882168206849	4.41323566436768
Q9DAB5	0.545889863018598	4.41306376457214
O35593	0.5183187707727711	4.40200519561768
Q9CX56	0.38357604994431044	4.38697695732117
Q60838	0.3919658530169761	4.38113713264465
Q7TQK5	0.45976441006006885	4.37718152999878
O70378	0.20123846756715938	4.37458419799805
A2AWP8	0.2646470424161062	4.35052943229675
Q9D1J3	0.4033329220049641	-4.34372472763062
Q9CXV9	0.3424610939035222	4.3297393321991
P29758	0.4064677996225281	4.32171297073364
P97470	0.2697450984758468	4.31765413284302
Q00623	0.43812340568570624	4.31593346595764
Q61171	0.5706280819501309	4.31221842765808
P01869	0.3085484177174367	4.31219816207886
P35278	0.32400564649290486	4.28238010406494
Q0GNC1	0.32886374347639397	4.25107502937317
Q569L8	0.4230586568095967	4.22178816795349
O70325	0.42000032962889106	4.21806716918945
Q9DCN2	0.2919812941640466	4.19332337379456
Q497W2	0.6108383463797649	4.17641186714172
P04104	0.5992029565479967	4.16846323013306
P01631	0.2975129239719874	4.15284323692322
Q9DBT5	0.23025152781334762	4.15177655220032
P51863	0.39590473427474837	4.13853526115417
