"","protein","k"
"USP43","USP43",3
"DDR1","DDR1",3
"OTX2","OTX2",3
"GNG10","GNG10",3
"CENPI","CENPI",3
"TTC39C","TTC39C",3
"TNIK","TNIK",3
"RHPN2","RHPN2",3
"PTPRJ","PTPRJ",3
"CTSV","CTSV",3
"DMAC1","DMAC1",3
"RAB25","RAB25",3
"CEP135","CEP135",3
"PPP2R3A","PPP2R3A",3
"FAM83F","FAM83F",3
"PKP4","PKP4",3
"DCAF12L1","DCAF12L1",3
"CAVIN3","CAVIN3",3
"TYRO3","TYRO3",3
"FBXO17","FBXO17",3
"LRRC8E","LRRC8E",3
"ETS1","ETS1",3
"GRHL2","GRHL2",3
"ITGB4","ITGB4",3
"KIF18A","KIF18A",3
"WTIP","WTIP",3
"ICE2","ICE2",3
"SH3GL3","SH3GL3",3
"LRR1","LRR1",3
"SLC38A2","SLC38A2",3
"PLK1","PLK1",3
"SIX4","SIX4",3
"STX10","STX10",3
"CD44","CD44",3
"LMO7","LMO7",3
"TRIM14","TRIM14",3
"GPRIN2","GPRIN2",3
"TDGF1","TDGF1",3
"OLFM2","OLFM2",3
"TRPC4","TRPC4",3
"ARHGEF4","ARHGEF4",3
"LTBP1","LTBP1",3
"MT1X","MT1X",3
"CCN2","CCN2",3
"USP44","USP44",3
"SLC7A8","SLC7A8",3
"DAB1","DAB1",3
"NANOG","NANOG",3
"PDZD4","PDZD4",3
"PREX2","PREX2",3
"CADPS2","CADPS2",3
"KDR","KDR",3
"TMEM30B","TMEM30B",3
"SYNE4","SYNE4",3
"SNX8","SNX8",3
"FREM2","FREM2",3
"ZFP36L2","ZFP36L2",3
"TCN2","TCN2",3
"PRKCH","PRKCH",3
"NADK","NADK",3
"ACVR1","ACVR1",3
"ZNF212","ZNF212",3
"AMIGO3","AMIGO3",3
"RPS6KA4","RPS6KA4",3
"PLPP1","PLPP1",3
"FCHO1","FCHO1",3
"KRAS","KRAS",3
"NAP1L3","NAP1L3",3
"ALPK3","ALPK3",3
"CLIP1","CLIP1",3
"CSMD2","CSMD2",3
"SFRP2","SFRP2",3
"ZNF146","ZNF146",3
"NEBL","NEBL",3
"MPO","MPO",3
"INTU","INTU",3
"TIMP4","TIMP4",3
"STC2","STC2",3
"LRAT","LRAT",3
"ERVMER34-1","ERVMER34-1",3
"MAPKAPK3","MAPKAPK3",3
"FGD4","FGD4",3
"GNA14","GNA14",3
"HES1","HES1",3
"DPPA3","DPPA3",3
"MAZ","MAZ",3
"FIGNL1","FIGNL1",3
"ZNF701","ZNF701",3
"ZBTB24","ZBTB24",3
"SPTY2D1","SPTY2D1",3
"TOR4A","TOR4A",3
"SGO2","SGO2",3
"ZNF101","ZNF101",3
"SOX13","SOX13",3
"ABCG2","ABCG2",3
"ENTR1","ENTR1",3
"TESMIN","TESMIN",3
"RAB43","RAB43",3
"ZNF239","ZNF239",3
"PROSER2","PROSER2",3
"CHMP4C","CHMP4C",3
"CDCA7","CDCA7",3
"STOM","STOM",3
"AMD1","AMD1",3
"TRIM6","TRIM6",3
"ZNF114","ZNF114",3
"SIPA1L1","SIPA1L1",3
"CACHD1","CACHD1",3
"ZSCAN10","ZSCAN10",3
"PPP1R1B","PPP1R1B",3
"ESRP2","ESRP2",3
"PARP14","PARP14",3
"MIIP","MIIP",3
"PXN","PXN",3
"A0A0A0MRY4","A0A0A0MRY4",3
"ITM2C","ITM2C",3
"SLC27A2","SLC27A2",3
"CEP72","CEP72",3
"COLEC12","COLEC12",3
"NR2F1","NR2F1",3
"FA2H","FA2H",3
"GRAMD1B","GRAMD1B",3
"SLBP","SLBP",3
"GLT8D2","GLT8D2",3
"ENPP5","ENPP5",3
"DALRD3","DALRD3",3
"TNK1","TNK1",3
"SERINC5","SERINC5",3
"EXO1","EXO1",3
"CDC6","CDC6",3
"ATXN7.1","ATXN7.1",3
"RNF166","RNF166",3
"RIMKLB","RIMKLB",3
"MAPK13","MAPK13",3
"MT2A","MT2A",3
"FGFR4","FGFR4",3
"CHST13","CHST13",3
"THEMIS2","THEMIS2",3
"G2E3","G2E3",3
"ATG4C","ATG4C",3
"SNX21","SNX21",3
"PROCR","PROCR",3
"CHTF8","CHTF8",3
"GRB7","GRB7",3
"STK40","STK40",3
"HLA-DQB1.1","HLA-DQB1.1",3
"PLSCR1","PLSCR1",3
"PCSK9","PCSK9",3
"GALNT12","GALNT12",3
"TMEM39A","TMEM39A",3
"SMTN","SMTN",3
"IGSF21","IGSF21",3
"SLC20A1","SLC20A1",3
"ANKHD1","ANKHD1",3
"JPH1","JPH1",3
"PLEKHG3","PLEKHG3",3
"ZSCAN10.1","ZSCAN10.1",3
"PLPP2","PLPP2",3
"PDZD2","PDZD2",3
"RASSF7","RASSF7",3
"NLRP2","NLRP2",3
"CAVIN1","CAVIN1",3
"FAT1","FAT1",3
"CD109","CD109",3
"RESF1","RESF1",3
"ZNF16","ZNF16",3
"ITGA3","ITGA3",3
"MAP9","MAP9",3
"SATB2","SATB2",3
"PAQR3","PAQR3",3
"NECTIN3","NECTIN3",3
"NDFIP2","NDFIP2",3
"CANT1","CANT1",3
"FAR2","FAR2",3
"POLR2M.1","POLR2M.1",3
"ELF1","ELF1",3
"CGAS","CGAS",3
"KLHL21","KLHL21",3
"NOTCH2","NOTCH2",3
"CDH3","CDH3",3
"NRK","NRK",3
"DND1","DND1",3
"HLA-DQB1.2","HLA-DQB1.2",3
"MCM8","MCM8",3
"BET1L","BET1L",3
"SHOC1","SHOC1",3
"WDR35","WDR35",3
"UBE3D","UBE3D",3
"PARP12","PARP12",3
"ADGRE5","ADGRE5",3
"CASP8","CASP8",3
"PSMG2","PSMG2",3
"HERC5","HERC5",3
"ECT2","ECT2",3
"INPP5B","INPP5B",3
"PPP1R35","PPP1R35",3
"LDLRAP1","LDLRAP1",3
"METTL18","METTL18",3
"MOCS1","MOCS1",3
"TMEM263","TMEM263",3
"TDRP","TDRP",3
"CHMP2B","CHMP2B",3
"GCNT2","GCNT2",3
"CCNB1","CCNB1",3
"ZDHHC20","ZDHHC20",3
"GMNN","GMNN",3
"CENPE","CENPE",3
"C14orf119","C14orf119",3
"CCND1","CCND1",3
"NUSAP1","NUSAP1",3
"GTSE1","GTSE1",3
"PRKCD","PRKCD",3
"SAAL1","SAAL1",3
"CDR2","CDR2",3
"BNIP2","BNIP2",3
"ARHGAP19","ARHGAP19",3
"DCAF4","DCAF4",3
