Protein.Ids	-Log(P-value)	Difference
A0A075B5J5	0.8245033898824272	-0.876926422119141
A0A087WQY5	0.8609362572574359	0.231705347696941
A0A087WNP0	0.8735429307315716	0.286193211873371
A0A087WNZ7	0.9723487327645223	-0.0719744364420585
A0A087WP48	0.7010050647728602	0.133249918619789
A0A087WP33	0.9093146318216813	-0.383899688720703
A0A087WQ02	0.9373873849451286	0.289005279541016
E9QNN1	0.7962139079472879	0.929334004720054
A0A087WPN6	0.8955169752319023	0.751489003499351
A0A087WQ16	0.9780572532176964	-0.0996570587158203
A0A087WQ20	0.8964273205548589	-0.431163787841797
A0A087WQ89	0.7752838386041221	-0.646100997924805
A0A087WQB0	0.7798094736008514	-0.814249038696289
A0A087WQH8	0.8370756142797876	0.264726003011067
B7ZNP0	0.8027923283713478	-0.910858472188313
A0A087WQS0	0.729104128510541	-0.894694010416668
Q8R3Y5	0.9497973345588342	-0.231981913248696
A2BE23	0.5200844416058485	-1.04331270853679
E9QM90	0.8324237097209221	-0.810475667317711
F2Z4A3	0.7834351226628891	-0.732667922973633
E9Q981	0.8873212479414088	-0.531596501668293
Q3TE80	0.6807297506922264	-1.03182538350423
A0A0A0MQH5	0.9957698883214127	0.0243593851725272
Q80WR5	0.6127025007452208	1.07041867574056
A0A0A6YVT6	0.43301329481292977	-1.40037155151367
A0A0A6YW80	0.6807470921466648	-0.715492248535156
Q8K1M3	0.6308272030726986	-0.286694208780922
A0A1D5RM41	0.5636868086196193	-0.560260136922203
A0A0B4J1H4	0.9625233236820767	-0.107689539591469
P01631	0.8299241853120916	-0.89776611328125
A0A0G2JDS8	0.9850553388098376	-0.0104751586914063
Q9CXL3	0.667402277163524	0.263062795003258
A0A0G2JFF1	0.9889267099954039	-0.0238431294759103
A0A0G2JFK2	0.7816744619433984	-0.917884190877281
A0A0G2JFZ4	0.854370880892546	-0.335986455281574
A0A0G2JFV5	0.8677664353320256	0.236772537231445
A0A0J9YTR2	0.7345805063038533	-0.992328643798828
Q8BGM4	0.8464925746365971	-1.17453606923421
A0A0N4SVS6	0.9686714609482056	-0.0737934112548828
A0A0N4SW73	0.4814968197984926	0.730717341105144
A0A0N4SUU0	0.7243443485977166	-0.580552419026692
A0A0R4IZY9	0.4948987314674504	-0.960525512695313
E9PWE3	0.8315112341131791	-0.821884155273438
A0A0R4J0B5	0.9206459847161192	-0.400985717773438
A0A0R4J1G7	0.9537121634435386	-0.247786204020183
A2T4N6	0.782384163564123	0.127127329508465
Z4YLI8	0.8273166720167805	0.149242401123047
Q6DIA7	0.766516455980838	-0.77956263224284
A0A0R4J1J1	0.9359849295473146	-0.417411804199219
A0A0R4J1R7	0.8799433307608315	0.332761128743488
A0A0U1RNF2	0.7719736225730228	0.183583577473957
A0A0U1RP81	0.9919535962313827	-0.0316003163655623
A0A0U1RPA0	0.7565314498663622	-0.773173014322914
A0A140LI34	0.7799045072157103	-0.510843276977539
A0A140LIU8	0.9099054227568116	0.142483393351235
A0A140LIX9	0.9175604791071702	0.409405390421551
A0A140LJB7	0.957883159348978	-0.165262858072918
A0A1B0GQZ3	0.8114920802288772	-0.431945164998375
A0A1B0GR85	0.9188986468823088	-0.155767440795898
A0A1B0GR91	0.8484569170651727	-0.337944030761719
A0A1B0GRI2	0.9898905159176014	-0.0617637634277344
E9Q8L9	0.8156435626060556	-0.573807398478188
A0A1B0GRV0	0.9096067564412441	-0.433773676554363
A0A1B0GRY7	0.8874229842231401	-0.543043772379558
A0A1B0GS41	0.9959022074728622	0.0174833933512346
A0A1B0GSB8	0.907043439561522	0.253711700439453
A0A2I3BPT2	0.6904036286279741	-0.827847162882488
A0A1B0GSQ3	0.9583127438881609	-0.0822569529215471
A0A1B0GSX7	0.7461103302905315	-1.10077985127767
A0A1D5RLD1	0.9323908606570862	-0.219718933105469
A0A1D5RLK6	0.9213903460354852	-0.114565531412758
E9PWT1	0.757209878846681	-1.198517481486
A0A1D5RMI8	0.8905336236692986	-0.610813458760582
Q8CDM9	0.6771372923017678	-0.663379033406574
A0A1L1SSC7	0.9670880194923634	-0.120410919189453
Q91V76	0.9813331689171586	0.107585271199547
A0A1L1ST22	0.5529309177840739	-0.768822987874351
A0A1L1SUU4	0.717413452606903	-0.89525032043457
A0A1L1SV25	0.9795509254544537	-0.112280527750652
A0A1L1SV73	0.650162515471318	0.968992869059246
A2A9Z2	0.798997109072371	-0.990647951761883
E9Q374	0.8900499976291619	-0.534158706665039
A0A1W2P7Q6	0.9800614418323493	-0.0707473754882813
A0A1W2P7S8	0.879237290782766	-0.419542948404949
A0A1W2P872	0.808717596413387	-0.826078414916992
E9QA61	0.9857443581349615	-0.0726426442464216
A0A1W2P8C0	0.7974276175362331	-0.5726629892985
Q8BHN7	0.7452415114283011	-0.83195368448893
A0A1Y7VIR0	0.6813841790067616	-0.465838750203453
A0A1Y7VNG9	0.8971216386569242	-0.490001996358234
E9Q9B7	0.6306969243964544	-0.423987070719399
Q68FG1	0.9852210418400983	-0.0372765858968087
A0A1Y7VNZ0	0.9752990723704399	0.0495929718017578
A0A1Y7VP67	0.7369427059546755	-0.84796460469564
A0A286YCN8	0.7376178777631557	-1.32698853810628
E9Q4K7	0.7216209778515913	-0.425101598103844
