Protein.Ids	-Log(P-value)	Difference
A0A075B5J5	0.7284857565910878	-1.53981018066406
A0A087WQY5	0.9658338772159166	-0.0374361673990862
A0A087WNP0	0.8955735206905465	-0.236839930216473
A0A087WNZ7	0.9213449028450115	-0.205888748168945
A0A087WP48	0.6769620882434784	0.185792922973633
A0A087WP33	0.71505801455855	-1.15752251942952
A0A087WQ02	0.9487524614095614	0.265314737955727
E9QNN1	0.5131910146519739	1.85547955830892
A0A087WPN6	0.7798380733903255	-1.31261698404948
A0A087WQ16	0.8974758646023893	-0.435745239257813
A0A087WQ20	0.7295941330641709	-0.789620081583656
A0A087WQ89	0.8503718514434381	-0.425917943318684
A0A087WQB0	0.88606169712676	-0.632790883382164
A0A087WQH8	0.47820819849176543	-1.01661809285482
B7ZNP0	0.7381202715483692	-0.973759333292644
A0A087WQS0	0.6433007909431023	-0.205055236816406
Q8R3Y5	0.8446750184386799	-0.322576522827148
A2BE23	0.7062264606706793	-0.531266530354817
E9QM90	0.8962371693361897	0.483800252278645
F2Z4A3	0.9231800103634857	0.04937744140625
E9Q981	0.8530994348869994	0.504536946614586
Q3TE80	0.723630114623151	-0.335683822631836
A0A0A0MQH5	0.8466155857164567	0.72180493672689
Q80WR5	0.9829577506640602	-0.0939083099365234
A0A0A6YVT6	0.5054572579192965	-1.92237663269043
A0A0A6YW80	0.6422076459195805	-0.86436335245768
Q8K1M3	0.30998478786196965	-0.567767461140949
A0A1D5RM41	0.7644716592027285	-0.87561353047689
A0A0B4J1H4	0.8333377387258186	-0.541529019673664
P01631	0.9829261034605873	0.0993817647298165
A0A0G2JDS8	0.9416162042982092	-0.0364863077799491
Q9CXL3	0.8538796852952225	-0.331508000691731
A0A0G2JFF1	0.8790612925548102	0.170036951700848
A0A0G2JFK2	0.7521383295244802	-1.17305437723796
A0A0G2JFZ4	0.663750315492815	-0.684057871500649
A0A0G2JFV5	0.9867171746041549	-0.0245202382405623
A0A0J9YTR2	0.8616900481510672	-0.10190709431966
Q8BGM4	0.783163608210777	-1.63239320119222
A0A0N4SVS6	0.8659675438778095	0.176877975463867
A0A0N4SW73	0.9453952709998719	0.0682881673177107
A0A0N4SUU0	0.8105043677531371	0.133059819539387
A0A0R4IZY9	0.6724644684429619	-0.258094151814777
E9PWE3	0.9934168409973156	-0.0475120544433594
A0A0R4J0B5	0.7806165117965785	-0.85656229654948
A0A0R4J1G7	0.9970193919172848	-0.016782124837242
A2T4N6	0.7146034334060155	-0.297749837239582
Z4YLI8	0.8092258183117885	-0.252740224202473
Q6DIA7	0.5802177362040005	-1.06046930948893
A0A0R4J1J1	0.9179462002878387	-0.549743334452312
A0A0R4J1R7	0.8196784914530264	-0.449225107828777
A0A0U1RNF2	0.8182241224975402	0.16689173380534
A0A0U1RP81	0.9108171049800564	0.295196533203125
A0A0U1RPA0	0.903284106342043	-0.310593287150063
A0A140LI34	0.6891736205063346	-0.699686686197918
A0A140LIU8	0.8392521203693633	0.229808807373047
A0A140LIX9	0.9850308664679144	0.102478663126629
A0A140LJB7	0.8419662194639115	-0.723646799723308
A0A1B0GQZ3	0.8050184973179978	-0.161771774291992
A0A1B0GR85	0.6708320551928497	-0.395420074462891
A0A1B0GR91	0.9409217707709223	0.142538070678711
A0A1B0GRI2	0.9746634498461483	-0.156537373860679
E9Q8L9	0.891688154180275	-0.334946950276692
A0A1B0GRV0	0.9730108464282973	-0.119742711385094
A0A1B0GRY7	0.9676473070104914	-0.123271942138672
A0A1B0GS41	0.9873617406897289	0.0639928181966134
A0A1B0GSB8	0.8911696430895671	-0.578610738118488
A0A2I3BPT2	0.7670865417989136	-0.722358067830406
A0A1B0GSQ3	0.6664859140559272	0.525707244873047
A0A1B0GSX7	0.9336843985142669	-0.254659016927086
A0A1D5RLD1	0.8253423859834015	-0.538394927978516
A0A1D5RLK6	0.6040761458951318	-0.649906158447266
E9PWT1	0.7247043224935013	-1.35065905253093
A0A1D5RMI8	0.8695383298166842	-0.694038073221844
Q8CDM9	0.7489755292872855	-0.454252243041992
A0A1L1SSC7	0.8026460558076807	-0.345664342244465
Q91V76	0.9437158230864471	0.34053166707357
A0A1L1ST22	0.5478541677826175	-1.31705474853516
A0A1L1SUU4	0.6844041226565545	-1.05200513203939
A0A1L1SV25	0.7507330274295257	-1.0726375579834
