Protein.Ids	-Log(P-value)	Difference
A0A075B5P4	0.6247664703095879	-0.898136138916016
A0A075B5Z5	0.5048192410261327	2.9914722442627
A0A3B2W7J0	0.9399131904733243	-0.13762601216634
A0A087WQ89	0.9942749806399189	0.0213155746459961
A0A087WQB0	0.9226257714391065	-0.315486907958984
Q9D937	0.8848777115430118	0.20399602254232
Q3TE80	0.6093119617451279	1.29071617126465
P01631	0.6255146775207271	-1.31291643778483
Q9CXL3	0.9061413141021746	0.404758453369141
A0A0G2JFF1	0.4467203235451174	0.698646863301594
B9EJ54	0.97832231207389	-0.0754617055257185
A0A0N4SVM3	0.9896033077289669	-0.0231501261393241
A0A0N4SVS6	0.9332088753973617	0.312541325887043
A0A0R4IZY9	0.8979779492964307	-0.255847295125324
Z4YLI8	0.7083454519954657	-0.877096176147461
A0A140LIU8	0.7700312827493736	1.72092660268148
A0A1B0GS97	0.9387161636215771	0.242176691691078
A0A1B0GSQ3	0.9010070809899612	-0.223892847696941
A0A1D5RLD1	0.6780503764360354	0.522399584452312
E9PWT1	0.8034059395766714	0.721891403198242
E9Q4K7	0.7159573180913571	-0.818022410074871
A0A286YCX6	0.808795654872083	-0.425499598185223
E9QAP7	0.7600926936890854	-0.34312629699707
A0A2I3BRL0	0.7935553364554028	-0.350076675415039
A0A2I3BRM6	0.6500843994956137	-1.56643040974935
A0A2R8VHP3	0.8323710429786157	0.408199310302734
A0A338P6F4	0.941796811985665	-0.206327438354492
A2BIE1	0.655427615394057	1.37143516540527
A0A3B2W824	0.7082059804801437	0.920638402303059
Q5XFZ0	0.3411687977319269	-0.348051071166992
A0A494BAG5	0.9957831202337444	0.0306339263916016
F6ZHM5	0.835081702523516	0.634667078653973
A0A5F8MPH5	0.5954204672714187	-1.76915740966797
A0A5H1ZRL3	0.9498555186650298	0.129756927490234
A1L317	0.9753299862042468	-0.317368825276692
A2A432	0.8581692522909622	0.289117813110352
Q3U1M7	0.6290579970286203	0.320319493611656
A2A4P0	0.9215501379942673	-0.399172465006508
A2A6A1	0.47346859436812455	1.22408739725749
A2A791	0.9959563008755437	-0.0160191853841134
A2A8Z1	0.9352743003967531	-0.24502404530843
A2A9J5	0.8480682874227503	0.814744313557942
A2ACQ1	0.8949567705327118	0.319098790486652
A2ADY9	0.8924049089018313	0.144835789998375
A2AF34	0.9555702057867516	0.246245384216309
A2AGT5	0.6561737848334982	0.431061426798504
A2AIV2	0.7898011779854146	-0.209689458211262
F6W2V3	0.9680648526632407	0.0320269266764335
A2AN08	0.9831607275305657	-0.0387821197509766
J3QMC5	0.39105523715935747	-0.346906026204429
A2APB8	0.6427511513559441	0.621433258056641
A2AQ19	0.7344670057209884	1.0458132425944
A2AQ25	0.9582898206130406	-0.214961369832356
A2AR02	0.9468798228920425	-0.285353660583496
A2ASS6	0.9324852145873742	0.139156341552734
A2AWA9	0.8358474871362842	0.633108774820961
A2BE28	0.8102550058481138	-0.170957565307617
A2BH40	0.6918304836117783	-0.781749725341797
E9Q3G5	0.6999742515353933	-0.308703104654946
A2RSY6	0.9474729993315427	-0.176478703816734
A2TJV2	0.8518371441455241	-0.132766087849934
A3KFU5	0.9969080387185609	0.00355720520019531
A6PWY4	0.970587554228139	-0.0538870493570975
A8C756	0.7902374596036429	-0.952013651529949
A8Y5H7	0.8983839384063936	-0.392597198486328
B1ARD6	0.8170482309035182	0.539224306742348
B1AU75	0.5891425147889326	1.22147369384766
B1AUE5	0.8865022499861429	-0.182097117106121
B1AUN3	0.7903815834081384	-0.456708908081055
B1AUR6	0.7316117550826753	-0.175078074137371
A0A571BDL9	0.4980230366420887	2.16829109191895
B1AWL2	0.942696410098945	0.201094627380371
B1AZI6	0.874954547208712	0.884284973144531
B2RQC6	0.9923177134933038	0.0137608846028634
B2RQG2	0.9532927661081754	0.100479125976563
B2RRE7	0.8305752121332745	-0.517487208048504
B2RS91	0.8834374621935555	-0.329378128051758
B2RXC1	0.8853164588245218	0.244785944620769
B2RXW8	0.9746983195532434	-0.0878175099690743
B2RXT3	0.6155299035327796	-0.771270116170246
B2RY56	0.800966320546321	0.349634806315102
B8JJG9	0.999710505867438	-0.00171216328938684
B8ZXI1	0.777937599138711	0.259676615397137
B9EJR8	0.9939210704108906	0.0383701324462891
Q3UI14	0.8058163918867658	0.727604548136391
C0HKD8	0.6943352014423334	0.833849589029949
D3YW09	0.7694252810173106	-0.612964948018391
D3YWT1	0.6620227031534593	-0.714497248331703
D3YXK2	0.9371618825738438	0.109546661376953
D3Z1S8	0.9845034771027387	-0.136432011922199
D3YZ78	0.8481046881543514	-0.965129216512047
D3YZP9	0.43516340698457134	1.69121424357096
D3YZU1	0.8443092696921489	0.200587590535481
E9Q7G1	0.6236769899561456	0.472540537516274
D3Z0M9	0.5440762458400832	1.02857081095378
D3Z2Q6	0.9716244467519918	0.176769256591797
D3Z4I3	0.8589395482115229	0.186955769856773
D3Z6I8	0.9784836763907117	-0.0495834350585938
D3Z6P9	0.650065280068388	-0.984508514404297
D3Z7E1	0.9655223253625432	0.258883158365887
D3Z7P3	0.9688608764758522	-0.15922737121582
E9PUA5	0.28477374824735124	-2.66464678446452
F6ZHN3	0.7553956719449852	-1.43812624613444
F7DE17	0.701654729287245	1.60911560058594
E9PVA8	0.9135695911484477	-0.0817623138427734
E9PVX6	0.8969416959420916	-0.433598200480144
E9QAH1	0.6303893605872717	-1.97978210449219
E9PWG6	0.938163182167037	0.19886589050293
E9PWW9	0.8020739835167183	-0.464722951253258
E9PY43	0.9112953052093287	0.167105356852211
E9PYH6	0.9874303686366128	-0.0582720438639299
E9PYI1	0.90308773184128	0.204909324645996
E9PZJ8	0.6503387199841808	-1.77658971150716
E9Q0F0	0.6505740557543475	1.67807769775391
E9Q166	0.9495684517422388	-0.184411366780598
E9Q1P8	0.893105654620402	-0.194032033284508
E9Q1W7	0.7570973426834416	0.685757954915363
E9Q467	0.9495125261043493	0.256424585978191
E9Q2C0	0.5995937581669775	3.02674547831217
E9Q3G8	0.9279856183340036	-0.0486011505126953
E9Q4P1	0.8368727951532146	-0.30778694152832
E9Q557	0.9224449775614001	0.210200627644856
E9Q5C9	0.6338290146013736	0.563114166259766
E9Q5G3	0.9033896535765262	0.502764383951824
E9Q5J9	0.8555593134714881	-0.114499409993488
E9Q616	0.5843988903329409	0.578980763753254
E9Q6R3	0.7070353036130942	-0.971583684285481
E9Q6R7	0.9819744238326104	0.0358517964680978
E9Q6S4	0.42985710172859387	0.636825561523438
