Protein.Ids	-Log(P-value)	Difference
A0A075B5P4	0.6614688525398417	-1.35606892903646
A0A075B5Z5	0.44076401709733104	3.5305004119873
A0A3B2W7J0	0.8859028124621637	-0.643603324890137
A0A087WQ89	0.9199700362143951	0.315929730733238
A0A087WQB0	0.4168292586307771	-2.0027322769165
Q9D937	0.8433108022633675	0.28502909342448
Q3TE80	0.6942349221388648	0.471659978230793
P01631	0.704043176653651	-0.903521219889324
Q9CXL3	0.733316545750197	-0.702231089274086
A0A0G2JFF1	0.9415166953253928	-0.0672820409139021
B9EJ54	0.5689433164134552	-1.01750691731771
A0A0N4SVM3	0.8917140678654839	0.44168980916341
A0A0N4SVS6	0.6026750390566773	-1.41280619303386
A0A0R4IZY9	0.574672762467528	-1.07969856262207
Z4YLI8	0.9778433094879209	0.101510365804035
A0A140LIU8	0.9233718225264063	0.494110425313313
A0A1B0GS97	0.4723116618839343	-1.71590741475423
A0A1B0GSQ3	0.8223088778884121	0.607634862263996
A0A1D5RLD1	0.9643869848602034	0.185671488444012
E9PWT1	0.7986289885767696	0.988388061523438
E9Q4K7	0.4223214063396997	-1.40747896830241
A0A286YCX6	0.8133531875944949	-0.608261426289875
E9QAP7	0.6218563650540956	-0.709039052327473
A0A2I3BRL0	0.41266053281735937	-0.647195816040039
A0A2I3BRM6	0.5415498134496093	-1.41477330525716
A0A2R8VHP3	0.7769107595304712	-0.56514104207357
A0A338P6F4	0.4785968633473236	-0.999455769856773
A2BIE1	0.4996115470124346	2.13671493530273
A0A3B2W824	0.43428114794631706	1.8664608001709
Q5XFZ0	0.6712515201877208	-0.423813501993813
A0A494BAG5	0.9412043662461151	0.333036422729492
F6ZHM5	0.45823797337486843	-0.58776537577311
A0A5F8MPH5	0.5763480859428302	-1.84203847249349
A0A5H1ZRL3	0.8989827586345477	0.305383682250977
A1L317	0.9694298571476591	0.275924682617188
A2A432	0.9159660143905322	-0.1759033203125
Q3U1M7	0.7456078690517126	0.519767125447594
A2A4P0	0.6153682123467407	-1.28554280598958
A2A6A1	0.9153553091517982	0.303859074910484
A2A791	0.6185357283618594	-1.04096635182698
A2A8Z1	0.8231872277420101	0.837816874186199
A2A9J5	0.9744490210049737	-0.144515991210938
A2ACQ1	0.5129235913102078	-1.11983744303386
A2ADY9	0.8688440251519292	-0.245892842610676
A2AF34	0.8886532156455141	-0.443898836771648
A2AGT5	0.6360326742281092	-0.419643402099609
A2AIV2	0.21520371293404206	-1.28018061319987
F6W2V3	0.8217705807657973	0.143343607584637
A2AN08	0.8390859232521864	-0.396732966105144
J3QMC5	0.08815127202087338	-0.37873140970866
A2APB8	0.7710958438616035	-0.490343729654949
A2AQ19	0.915062051225686	0.432207743326824
A2AQ25	0.9999055388311512	-0.000422159830726798
A2AR02	0.5703417170416945	-1.67931302388509
A2ASS6	0.8552005248895457	-0.335275650024414
