Protein.Ids	-Log(P-value)	Difference
P03976	0.9009088889777995	-0.363379796346027
P01680	0.46496975722826284	-2.60487715403239
A0A075B5M4	0.2981829402477928	-2.22917620340983
A0A0B4J1J1	0.6669766772926071	-1.71460787455241
A0A075B5N4	0.4256606275466793	-2.54981231689453
P01674	0.3442767395199813	-2.09803771972656
A0A075B5P4	0.4368782739562737	-2.36557579040527
P03987	0.4318057055445674	-2.23274358113607
A0A075B5V1	0.3937835740715631	-3.10939184824626
A0A075B5Z5	0.9949893294995912	0.0388396581014021
A0A087WQY5	0.7885164215099466	0.778936703999838
A0A3B2W7J0	0.7251075122840922	1.1744213104248
A0A087WSF5	0.9969093637437783	-0.0140870412190743
A0A087WNZ7	0.46141934739580304	0.610713322957356
A0A087WP48	0.9984270210712246	-0.00183709462483961
A0A087WPL8	0.6277517539733074	-1.08745797475179
A0A087WQ02	0.7178120612215421	1.41417185465495
E9QNN1	0.9435637669153577	0.450797716776528
A0A087WQ20	0.9500008302189278	0.218611081441244
A0A087WQ89	0.8002659392647391	0.446250915527344
A0A087WQB0	0.9657059390293522	0.145753860473633
A0A087WQN7	0.8786529332925416	0.514305432637533
Q8R3Y5	0.7192325501298342	0.52894878387451
A2BE23	0.9429593785343788	-0.323254267374674
F2Z4A3	0.3793717799631264	1.42706267038981
Q3TE80	0.31582715365825326	1.33981132507324
A0A087WSP5	0.8328766353542159	0.635713259379068
F6XCT0	0.9641189598001016	-0.210184097290039
A0A0A0MQH5	0.9296328368731591	-0.112385749816896
Q80WR5	0.6943126201707066	0.764182408650719
A0A0A6YVZ3	0.9481975654431636	0.243666330973308
A0A0A6YW80	0.36638546777172587	-0.853978474934895
Q8K1M3	0.8617131487139263	0.182796796162924
A2AUP5	0.5495722602229954	1.36452388763428
P01631	0.2618692957946523	-2.96483421325684
A0A0G2JG70	0.9951007123816245	-0.0237140655517578
A0A0G2JFV5	0.6962546419887347	-0.289704958597817
A0A0G2JDS8	0.28757746256557665	0.60153611501058
A0A0G2JE89	0.4189581202126335	-0.712409337361654
Q9CXL3	0.863471282845677	0.638200441996258
A0A0G2JFF1	0.6965347655093459	0.535053253173828
A0A0G2JFZ4	0.8621544307323267	-0.499701499938965
A0A0G2JGA3	0.46165796410567417	0.612644831339516
A0A0J9YTR2	0.9651014431903555	-0.0206705729166679
J3QPS7	0.9840737624578835	0.0645732879638672
B9EJ54	0.7404654039817499	0.138311386108398
A0A0N4SUU0	0.4472266919098049	-1.02268250783285
A0A0N4SVM3	0.8135628278133412	-0.843886057535808
A0A0N4SVS6	0.4044012958965718	2.11000315348307
A0A0R4IZY9	0.14306334335974946	0.868783315022785
A0A0R4J1G7	0.7833538006464256	-0.641539573669434
A2T4N6	0.5659241188522978	0.575926462809242
Z4YLI8	0.6087118751103313	1.60485521952311
Q6DIA7	0.8499175055788832	0.483721733093262
A0A0R4J1J1	0.9458936387226821	-0.0337972640991211
A0A0R4J1R7	0.877397505321688	0.598727226257324
A0A0U1RNF2	0.9801648457757903	-0.0472402572631836
Q8WUR0	0.9579152657185206	-0.0691283543904646
A0A0U1RP81	0.6787873605868394	-0.948235193888344
A0A0U1RPA0	0.8207977998940403	0.281865755716959
A0A0U1RPK5	0.6015242357479733	-1.69272677103678
A0A140LI34	0.9247162747711515	0.132305145263672
A0A140LIU8	0.695524788882471	0.778561909993492
A0A140LJB7	0.9867330183862479	-0.0294221242268886
P01635	0.6267023404630757	-1.95176251729329
P01660	0.503063543646261	-2.01167742411296
A0A140T8P5	0.3717530638699656	-2.80827267964681
A0A140T8P6	0.5068834703500754	-1.94005902608236
A0A1B0GQZ3	0.9252169340818286	-0.17094357808431
A0A1B0GR91	0.8317578627336433	0.873981793721516
A0A1B0GRE8	0.5786877991982479	1.21947924296061
E9Q8L9	0.6786855111851178	0.420907974243164
A0A1B0GS97	0.7869394439501314	0.368599573771156
A0A1B0GRY7	0.7670099094362535	-0.337591807047525
A0A1B0GS41	0.8744029080894735	0.256244659423828
A0A1B0GSB8	0.975267739470021	0.123499234517418
A0A2I3BPT2	0.925639032001664	-0.146458625793457
A0A1B0GSQ3	0.8079212787115964	0.560696919759117
A0A1B0GSX7	0.4058298894049521	-0.564173380533855
A0A1D5RLD1	0.9853452831820527	-0.0438391367594377
E9PWT1	0.7463038203734331	-1.09907150268555
P59279	0.6907926789689208	-1.37427616119385
A0A1L1SRP4	0.9103336160262032	0.40934149424235
Q91V76	0.6027643542985055	0.813838958740234
A0A1L1SUH2	0.6110425471658509	-1.74333318074544
E9Q374	0.9335606976252291	0.326099077860516
A0A1W2P7A1	0.48606716777980874	-1.25440152486165
Q8BHN7	0.8364887359646664	-0.387486457824707
A0A1W2P7G9	0.7403271988065224	-1.1301809946696
A0A1W2P7K6	0.9440789152097656	0.287151336669922
A0A1W2P7Q6	0.798262876942106	0.248692194620769
Q9JKN6	0.434578202098229	0.904218991597494
A0A1W2P879	0.9421224274217335	0.289887428283691
A0A1W2P8C0	0.8835466366319206	0.561160723368326
A0A1Y7VNG9	0.6143180060372907	1.28476556142171
E9Q9B7	0.9492047192400362	-0.102506955464682
A0A1Y7VNA8	0.9888908731853957	0.0430316925048828
A0A1Y7VNZ0	0.9845941599075158	0.038878122965496
A0A1Y7VP67	0.791772622578673	0.680246671040852
A0A217FL55	0.9240052036851208	-0.284904162089029
E9Q4K7	0.5329618323060226	-0.546441396077473
A0A286YCX6	0.9295592145683838	-0.116569836934406
A0A286YCY3	0.7129745586537801	1.29925282796224
A0A286YD13	0.9579191896110713	-0.228092829386394
E9QA63	0.7457496021635205	-0.993333180745442
