Protein.Ids	-Log(P-value)	Difference
P03976	0.9920593030355598	-0.0362946192423497
P01680	0.35167726622427364	-3.66471163431803
A0A075B5M4	0.45851376524769405	-1.82910442352295
A0A0B4J1J1	0.5546818759561803	-2.36881573994954
A0A075B5N4	0.35511626169765736	-3.15348370869954
P01674	0.3574352880365488	-2.2868169148763
A0A075B5P4	0.3559306484124623	-3.27057456970215
P03987	0.47062962002343744	-1.66324424743653
A0A075B5V1	0.269708686607119	-4.02703126271566
A0A075B5Z5	0.9818354674051563	-0.153054237365723
A0A087WQY5	0.472432051596841	1.73544851938883
A0A3B2W7J0	0.7643984518370825	1.0314572652181
A0A087WSF5	0.9444834671601609	0.238456090291342
A0A087WNZ7	0.26960959823331826	0.784908930460611
A0A087WP48	0.9528611518614767	0.11516507466634
A0A087WPL8	0.8371457017322744	-0.557714780171713
A0A087WQ02	0.7413842646102018	1.30485852559408
E9QNN1	0.8764818613850041	-1.08538468678793
A0A087WQ20	0.9807387336397839	0.0898745854695644
A0A087WQ89	0.4517429615690609	-0.544498125712076
A0A087WQB0	0.4318030032070078	1.63579940795898
A0A087WQN7	0.898566253345211	0.489311218261719
Q8R3Y5	0.7617461385410618	0.454426765441893
A2BE23	0.9930643298761546	0.0393657684326172
F2Z4A3	0.32241426064736334	1.54217052459717
Q3TE80	0.8237981366688806	0.798436800638836
A0A087WSP5	0.7247926410344694	1.03134346008301
F6XCT0	0.8637106721329958	-0.844244003295898
A0A0A0MQH5	0.6238293346439567	-0.581639289855959
Q80WR5	0.81707138748901	0.463141123453777
A0A0A6YVZ3	0.6382733905710611	1.62593237559001
A0A0A6YW80	0.6597858029226442	-0.761406580607094
Q8K1M3	0.5316422245816232	0.432788530985514
A2AUP5	0.9977970923488897	-0.0146869023640939
P01631	0.24345636499493845	-2.83270835876465
A0A0G2JG70	0.8258558332325907	0.66142495473226
A0A0G2JFV5	0.5489429236704211	-0.61184787750244
A0A0G2JDS8	0.24570660102948214	0.633897463480631
A0A0G2JE89	0.496629871881166	-0.591278711954752
Q9CXL3	0.916721568315918	0.393556912740074
A0A0G2JFF1	0.5941838495920085	0.822253545125328
A0A0G2JFZ4	0.9483537164496005	-0.175895055135092
A0A0G2JGA3	0.9161840073192242	0.15807278951009
A0A0J9YTR2	0.8760243875005879	-0.259026209513348
J3QPS7	0.7785700821784246	0.766607284545898
B9EJ54	0.7462400871451879	0.112150828043617
A0A0N4SUU0	0.767968432133208	-0.217765172322592
A0A0N4SVM3	0.6135621969157777	-1.5873285929362
A0A0N4SVS6	0.7716337228737933	1.4969482421875
A0A0R4IZY9	0.6551060669603004	0.974617004394531
A0A0R4J1G7	0.7525972945580224	-1.07785224914551
A2T4N6	0.6499980129344429	0.443039576212563
Z4YLI8	0.6888537058224962	1.23737462361654
Q6DIA7	0.9508142365400482	0.21078332265218
A0A0R4J1J1	0.5751307449926897	-1.42833614349365
A0A0R4J1R7	0.9289133646848029	0.274438222249348
A0A0U1RNF2	0.8550902576986666	0.25219217936198
Q8WUR0	0.8516488347235095	-0.196897824605308
A0A0U1RP81	0.4705508202849315	-1.15319569905599
A0A0U1RPA0	0.8691482205162849	-0.517128944396973
A0A0U1RPK5	0.6127220473508209	-1.64078712463379
A0A140LI34	0.7906460579316551	0.361992518107096
A0A140LIU8	0.6489116868611574	1.00533231099447
A0A140LJB7	0.41455965230478825	0.432216008504232
P01635	0.48988686249605434	-2.39035161336263
P01660	0.4571334069802157	-2.31884034474691
A0A140T8P5	0.5011197319615738	-1.84890365600586
A0A140T8P6	0.4464471985390253	-2.16047668457031
A0A1B0GQZ3	0.8433607799808939	0.355794588724772
A0A1B0GR91	0.6639251344481155	1.66999626159668
A0A1B0GRE8	0.39229256339302343	2.030442237854
E9Q8L9	0.91012875481364	0.12806224822998
A0A1B0GS97	0.9010954245523413	-0.566290537516277
A0A1B0GRY7	0.9954521427278737	-0.0173549652099609
A0A1B0GS41	0.9737040286255121	-0.0740292867024746
