Protein.Ids	-Log(P-value)	Difference
A0A075B5J5	0.749929612011732	0.745538711547852
A0A087WQY5	0.9484533960639085	-0.155461629231773
A0A087WNP0	0.878464616532043	-0.581963857014976
A0A087WNZ7	0.5939270511006636	0.860672632853191
A0A087WP48	0.7817413780966742	-0.513051350911461
A0A087WP33	0.8706966712130638	-0.634347915649414
A0A087WQ02	0.6153863522870265	1.45116551717122
E9QNN1	0.6959042806035048	1.6553643544515
A0A087WPN6	0.8311834470774775	-1.36528237660726
A0A087WQ16	0.929053814933519	-0.449972470601402
A0A087WQ20	0.9874255359863039	-0.0644172032674142
A0A087WQ89	0.9256478356300925	0.312948226928711
A0A087WQB0	0.8253086207444187	0.510174433390297
A0A087WQH8	0.7214956928904281	-1.27760028839111
B7ZNP0	0.9855809372862427	0.0792338053385429
A0A087WQS0	0.8922120600650618	0.172462463378906
A0A087WQN7	0.9703435476721066	0.20404052734375
Q8R3Y5	0.36289822759628465	0.80664571126302
A2BE23	0.7041969841843791	0.45046106974284
E9QM90	0.8545402342750801	-0.885277430216469
F2Z4A3	0.9039320331658447	-0.106906255086262
E9Q981	0.8362215797282263	0.360016504923504
Q3TE80	0.8989008744790733	-0.222453435262043
A0A087WSP5	0.8669867147517671	0.408353805541992
A0A0A0MQ99	0.9873134771057033	0.0608151753743478
A0A0A0MQH5	0.9032924959311837	-0.560095151265461
Q80WR5	0.9847315402307355	0.122550964355469
A0A0A6YVT6	0.7172465145521192	0.590243021647137
A0A0A6YW80	0.925254851297223	0.354571024576824
Q8K1M3	0.6596354096321255	0.769716262817383
A0A1D5RM41	0.801028188022735	0.291540145874023
A0A0B4J1E3	0.9613333008309595	0.21577262878418
A0A0B4J1F9	0.8410035765823914	0.921300570170086
P01735	0.9173651139812161	0.375246047973633
A0A0B4J1H4	0.8239258803613193	-1.5700511932373
P01631	0.98478482768468	0.148106257120766
A0A0G2JDI2	0.9307669627073446	-0.314392725626629
A0A0G2JDS8	0.67717032032547	0.821163177490234
A0A0G2JEI9	0.9917931896933067	0.0248336791992188
Q9CXL3	0.9283981470082938	0.297115325927734
A0A0G2JFF1	0.8673122117513901	-0.374013900756836
A0A0G2JFK2	0.5056366826437387	1.21180597941081
A0A0G2JFZ4	0.6616907284198698	0.959186553955078
A0A0G2JFV5	0.9594452968706759	0.113348642985027
A0A0J9YTR2	0.9712666256992848	0.0636024475097656
Q3UMP4	0.9215342986748716	-0.576268513997395
A0A0N4SVS6	0.6638853710251663	-0.607082366943359
A0A0N4SW73	0.9334865589561488	-0.151700973510742
A0A0N4SUU0	0.9054125608453154	0.0992558797200509
A0A0R4IZY9	0.7852739916766651	0.445961634318035
E9PWE3	0.9155010026053912	-0.28978665669759
A0A0R4J0B3	0.8268699778343217	0.417676289876304
A0A0R4J0B5	0.9729805520300759	0.135524113972981
A0A0R4J0H7	0.7740275829319713	0.955842336018879
A2T4N6	0.6652424055942294	0.365420023600262
Z4YLI8	0.8571464404401066	-0.353883107503258
Q6DIA7	0.9355087188412397	-0.356867154439293
A0A2R8VHZ9	0.9443180457576533	0.312603632609051
A0A0R4J1R7	0.9598237584892083	0.246292114257813
A0A0U1RNF2	0.20554424603274016	0.457262674967449
A0A0U1RP81	0.9148993795274167	0.442323684692383
A0A0U1RPA0	0.6068991504195628	1.13527170817057
A0A0U1RPC5	0.9851142999818943	0.126929918924965
A0A140LI34	0.8880968113054394	-0.347506841023762
A0A140LIU8	0.8186986759884929	-0.185481389363609
A0A140LIX9	0.7914235100701068	1.01457532246907
A0A1B0GQZ3	0.9656695012612434	0.110243479410808
A0A1B0GR85	0.7796512721084324	0.53658167521159
A0A1B0GR91	0.40761091677192784	1.66559092203776
E9Q8L9	0.7333739447412021	0.251716613769531
A0A1B0GRV0	0.8558193084551393	-0.404173533121746
A0A1B0GRY7	0.6980971674335837	1.24312559763591
A0A1B0GS41	0.9193941386403376	0.379531224568684
A0A1B0GSB8	0.9319342705370546	0.656308809916176
A0A2I3BPT2	0.8550583383504269	0.642293294270832
A0A1B0GSQ3	0.42186863112100587	0.894252777099609
A0A1B0GSX7	0.8901805045313933	0.307945251464844
A0A1D5RLD1	0.9257414318876857	0.479068120320637
A0A1D5RLK6	0.832742792962786	0.588757832845051
E9PWT1	0.5829813714705573	2.54169273376465
F6YAM1	0.9366259976395159	-0.419773419698078
A0A1D5RMI8	0.8498399620722148	-0.288888931274414
Q8CDM9	0.8749532122488657	0.350120544433594
A0A1L1SSC7	0.5934414891392715	0.242654164632164
Q91V76	0.9075880395128435	-0.311416625976563
A0A1L1SSL0	0.8900665646410321	-0.588967959086101
A0A1L1ST22	0.5346660816676787	1.36065165201823
A0A1L1SUV7	0.9388175383991936	-0.310150146484375
A0A1L1SUU4	0.9404608736075583	-0.381501197814941
A0A1L1SV25	0.9286814242407012	-0.422477722167969
A0A1L1SV73	0.8334906099380074	0.994910558064777
A2A9Z2	0.7963785100341507	-0.507980982462563
E9Q374	0.7627362088739003	-0.317681630452473
A0A1W2P7J4	0.8793257492287654	-0.722317377726235
A0A1W2P7K6	0.8941466872336303	-0.586630503336586
A0A1W2P7Q6	0.5933217188540191	1.28537178039551
A0A1W2P7S8	0.9269856454722195	-0.376795450846355
A0A1W2P872	0.975799867780245	-0.119010925292969
E9QA61	0.9984350245305826	-0.00622240702310961
A0A1W2P8C0	0.7132906227706967	0.961723963419598
Q8BHN7	0.9788989900016765	0.0688718159993478
A0A1Y7VIR0	0.7651764007639221	0.67282168070475
A0A1Y7VNG9	0.4580502851239756	1.52868207295736
E9Q9B7	0.7213775344545889	0.81462287902832
Q68FG1	0.9186072822187158	0.409684816996258
A0A1Y7VNL1	0.9263913091386861	-0.314869562784828
A0A1Y7VNZ0	0.46996704855311267	1.03289286295573
A0A1Y7VP67	0.8050760564805381	0.783933639526367
