Protein.Ids	-Log(P-value)	Difference
A0A075B5J5	0.9367765929890345	-0.358317693074547
A0A087WQY5	0.9813459550248977	-0.0582675933837891
A0A087WNP0	0.7697333355091399	-0.60530726114909
A0A087WNZ7	0.49810713874671103	0.445997873942058
A0A087WP48	0.8437593635732886	-0.269766489664715
A0A087WP33	0.5341213678714071	-1.31281344095866
A0A087WQ02	0.613094543480721	1.43284289042155
E9QNN1	0.45631180909896196	2.75094477335612
A0A087WPN6	0.5373284611833797	-2.55504194895427
A0A087WQ16	0.7392586643340754	-1.03767267862956
A0A087WQ20	0.9431706092539276	-0.151686986287434
A0A087WQ89	0.9057738833000629	0.259724934895836
A0A087WQB0	0.5182027209972049	1.29451560974121
A0A087WQH8	0.6892828982068874	0.488714853922524
B7ZNP0	0.5282369291349672	-1.61503442128499
A0A087WQS0	0.989263896559181	0.0160802205403634
A0A087WQN7	0.7923061179404802	-0.886642773946125
Q8R3Y5	0.6036720462958081	0.857521692911785
A2BE23	0.90419966919091	0.162563323974609
E9QM90	0.9445165895113454	-0.206240971883137
F2Z4A3	0.1625366034605755	0.681079228719078
E9Q981	0.7910415804775318	-0.39238166809082
Q3TE80	0.6744632833017115	0.645009994506836
A0A087WSP5	0.8135666619143394	0.534962972005207
A0A0A0MQ99	0.592108428471588	-1.14244683583577
A0A0A0MQH5	0.9933288899845999	-0.0305074055989571
Q80WR5	0.9444050313523137	-0.399731318155922
A0A0A6YVT6	0.8504315187673385	-0.817312558492024
A0A0A6YW80	0.8909116519290512	0.490243911743164
Q8K1M3	0.7110813334324757	0.560773213704426
A0A1D5RM41	0.7530006823988904	0.308202743530273
A0A0B4J1E3	0.8171097462314529	-0.76614538828532
A0A0B4J1F9	0.8029890325600069	0.875796000162762
P01735	0.7754607168493747	-0.577976544698082
A0A0B4J1H4	0.6544057438478824	-2.27158069610596
P01631	0.8632279860001355	-1.06125640869141
A0A0G2JDI2	0.2860595291843959	-1.73366419474284
A0A0G2JDS8	0.7226710138615787	0.710926691691082
A0A0G2JEI9	0.9659658452375183	0.0773588816324882
Q9CXL3	0.9693515930023588	0.132016499837242
A0A0G2JFF1	0.9240462016852149	-0.0832862854003906
A0A0G2JFK2	0.7100648214503538	0.821882883707683
A0A0G2JFZ4	0.8242513747371606	0.446578979492188
A0A0G2JFV5	0.7720495929535254	0.66059684753418
A0A0J9YTR2	0.6386769519480203	0.477004369099934
Q3UMP4	0.5338257874547464	-1.9844643274943
A0A0N4SVS6	0.6714496667607855	-0.541014989217121
A0A0N4SW73	0.576476729745406	-0.549188613891602
A0A0N4SUU0	0.8224838725808582	-0.187075297037762
A0A0R4IZY9	0.8254584587115164	0.350707372029621
E9PWE3	0.776451087190805	1.00794792175293
A0A0R4J0B3	0.918610554086063	0.191511789957683
A0A0R4J0B5	0.6362488067270478	-1.19446404774984
A0A0R4J0H7	0.7717549138279568	0.658627827962238
A2T4N6	0.564829111432022	0.377251942952473
