# ProtRank analysis results of a dataset with 6862 rows and 2 comparisons
# comparisons in group 1: H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_1.raw vs. H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_2.raw & H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_4.raw vs. H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzadC_1.raw
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	LFC	rank score	FDR	signs in groups
1	Q9DC51	-4.39	3.890891	1.00000	-
2	Q61827	3.08	3.877558	1.00000	+
3	Q9Z2D7	3.03	3.746078	1.00000	+
4	Q3UAW9	-4.05	3.650142	1.00000	-
5	P51174	-3.87	3.550969	1.00000	-
6	Q8R071	2.88	3.481545	1.00000	+
7	A0A1D5RLX6	2.82	3.433898	1.00000	+
8	Q06507	2.80	3.419287	1.00000	+
9	Q8R5C8	2.76	3.365946	1.00000	+
10	Q499E6	2.75	3.319171	1.00000	+
11	D3YTR4	2.71	3.277443	1.00000	+
12	Q91X52	2.71	3.267670	1.00000	+
13	Q9D516	2.62	3.084494	1.00000	+
14	Q9D4G2	-3.21	3.015876	1.00000	-
15	Q8C0D9	2.58	3.005795	1.00000	+
16	P51943	-3.20	3.004948	1.00000	-
17	Q9CQA0	2.58	3.000684	1.00000	+
18	Q61166	-3.17	2.994286	1.00000	-
19	Q8K0V4	-3.13	2.973704	1.00000	-
20	Q9QZK2	2.52	2.900911	1.00000	+
21	Q9DCH2	2.52	2.896859	1.00000	+
22	E9Q5Z5	2.48	2.839966	1.00000	+
23	Q9D5R3	2.46	2.802216	1.00000	+
24	P58043	-2.91	2.800100	1.00000	-
25	Q8CII8	2.45	2.795660	1.00000	+
26	Q80UJ7	-2.90	2.793238	1.00000	-
27	Q9DBA9	-2.86	2.773219	1.00000	-
28	E9Q0F0	2.42	2.752095	1.00000	+
29	B2RQY6	2.42	2.749126	1.00000	+
30	Q80U35	2.42	2.746175	1.00000	+
31	Q99P91	-2.81	2.741573	1.00000	-
32	O88445	2.41	2.725997	1.00000	+
33	O55102	-2.76	2.683740	1.00000	-
34	Q0VEE6	2.37	2.677552	1.00000	+
35	Q8K157	-2.74	2.662334	1.00000	-
36	Q80ZM7	2.35	2.645217	1.00000	+
37	Q7SIG6	2.35	2.642812	1.00000	+
38	Q9QY76	2.34	2.633298	1.00000	+
39	A0A1B0GRI2	2.34	2.626274	1.00000	+
40	Q6AW69	2.32	2.605748	1.00000	+
41	Q8CFK2	2.32	2.601293	1.00000	+
42	Q9D279	2.31	2.592492	1.00000	+
43	H3BKD0	-2.72	2.589086	1.00000	-
44	Q68FE8	2.30	2.581690	1.00000	+
45	P70202	2.30	2.579555	1.00000	+
46	Q9D067	2.29	2.573202	1.00000	+
47	Q9D0M5	2.86	2.571726	1.00000	+
48	Q91WM0	2.29	2.569007	1.00000	+
49	Q8R550	2.28	2.558660	1.00000	+
50	Q9D5D8	2.28	2.554575	1.00000	+
51	A2AUM9	2.27	2.552544	1.00000	+
52	Q9DAB5	2.26	2.550521	1.00000	+
53	Q99J19	-2.67	2.549523	1.00000	-
54	S4R299	2.25	2.540514	1.00000	+
55	Q61624	2.24	2.534596	1.00000	+
56	Q9D4I2	2.22	2.528741	1.00000	+
57	E9QK83	2.21	2.517212	1.00000	+
58	Q4FZC9	2.20	2.509656	1.00000	+
59	E9QA22	2.17	2.489387	1.00000	+
60	Q9QYH6	2.17	2.487579	1.00000	+
61	Q8CI61	2.16	2.485778	1.00000	+
62	Q61858	2.16	2.482192	1.00000	+
63	Q6ZPG2	2.14	2.464592	1.00000	+
64	Q924W7	2.13	2.461135	1.00000	+
65	Q9CQH8	2.13	2.459415	1.00000	+
66	Q80YE7	2.12	2.457700	1.00000	+
67	Q6URW6	-2.57	2.448897	1.00000	-
68	Q6T340	2.11	2.447513	1.00000	+
69	Q80ZW0	2.10	2.442486	1.00000	+
70	A2A799	2.09	2.427658	1.00000	+
71	P08042	2.09	2.424413	1.00000	+
72	Q69ZF8	2.07	2.417977	1.00000	+
73	Q52KG4	2.07	2.414784	1.00000	+
74	Q9D1E8	2.06	2.411609	1.00000	+
75	Q3UHA3	2.06	2.408451	1.00000	+
76	Q5DU09	2.04	2.395981	1.00000	+
