	Protein.Ids	Significant		Difference
0	Q9CR86		0,291911153339152	1,50444634755452
1	P30285		0,283993579026182	1,73209381103516
2	Q99L48		0,817715684119355	7,95691076914469
3	Q922R1		1,03997557983179	-0,959322611490887
4	Q9D172		0,599466030152547	-3,08963918685913
5	Q9Z2Y8		0,710061117472541	0,123204072316488
6	Q8CIV8		1,09065373990407	2,81788651148478
7	Q8BGW1		0,423429996062004	-0,599252382914226
8	P58044		0,889216271794946	-0,533326784769695
9	Q9CWE0		0,414317931338906	1,29260969161987
10	Q8BSK8		0,253108021022637	-0,595896085103353
11	Q80ZS3		0,83130957916622	-2,2267419497172
12	Q3SXD3		0,131569694082665	0,319008827209473
13	Q59J78		0,30487562113733	0,495336055755615
14	P97298		0,0191516914900671	-0,0861484209696446
15	Q8CDG3		0,422832100102231	1,20683161417643
16	Q5DU37		0,588032201996687	0,537715752919516
17	Q8C2A2		0,835433911024635	2,1430082321167
18	Q9D8X5		0,78910388888336	1,92288382848104
19	Q9R0P9		0,64521160337075	-1,16039975484212
20	Q8VE22		0,806003838671107	-1,18354066212972
21	Q80W47	+	3,69902156545253	8,15152104695638
22	Q9DBL1		0,668377736814417	1,7198543548584
23	Q8VCH0		2,63908190575242	5,43298180898031
24	Q9DBP5		0,239872691427519	1,08753029505412
25	P47955		0,222311590545115	-0,159628550211588
26	Q8CHT0		0,276985541465673	1,10778458913167
27	P70677		1,05099598230657	-1,51668898264567
28	P99029		0,192752361776594	-0,606340885162354
29	Q9R0Q7		0,41574119776825	0,611994107564291
30	Q9CYG7		0,363813203779582	1,0761562983195
31	Q61703		0,315376985648107	-0,813799063364666
32	O70492		0,735133326554895	2,6405709584554
33	Q8BGS2		0,161785830489411	0,829529444376627
34	Q9ERS2		0,440893859872419	1,15773407618205
35	Q9CQ60		0,501129251648346	2,08333492279053
36	O35621		0,45605671235583	-0,726447741190594
37	O88783		1,03436747664497	2,24494918187459
38	O54916		0,488423518096646	2,039178053538
39	Q9CX34		0,461982478205622	1,62930234273275
40	Q9Z2R6		0,383315608899261	0,60244115193685
41	Q9DCG9		0,203164798378422	0,833361625671387
42	P61089		0,474771231972554	1,59527333577474
43	Q9CQ80		3,03351310152152	5,34405612945557
44	Q99LB6		0,158027051087073	0,676463603973389
45	Q9D0B6		0,89089944982369	1,38733863830566
46	P00375		0,132550920627475	-0,305352528889975
47	Q921H9		1,68408719918999	5,19346110026042
48	Q5I043		1,97845100093786	5,04218832651774
49	Q8K354		0,00126530259081252	-0,00910472869873047
50	Q9CZN8		0,436622746247513	1,15895318984985
51	Q9R0N0		0,0580373004006253	0,183453241984049
52	Q64105		0,207933102751054	0,325430075327555
53	Q9Z2I8		0,00596042076881013	0,0452740987141933
54	Q9JHI2		0,686789338338457	3,08921543757121
55	P97770		0,507948003056545	1,64131275812785
56	Q8BG40		0,823890728892921	1,9973316192627
57	Q80Y17		0,0434298778289509	0,0760793685913086
58	P70122		1,15426901682003	2,41346597671509
59	Q8R2U6		0,678564253794366	1,54621410369873
60	E9PYG6		0,385765608532903	0,935406366984051
61	Q3TV70		2,44510420390594	5,03122997283936
62	P55012		0,453273087102609	0,527201970418295
63	Q9CQH3		0,25608197074451	-0,731040318806965
64	Q3THJ3		0,611893914741314	3,04254563649496
65	Q64520		0,727974749537526	3,87979714075724
66	P58389		0,883434265583778	-0,499017079671223
67	Q9WVL0		0,454296933558808	0,876385529836019
68	O88738		0,190360640206863	-0,70978291829427
69	Q6P5E6		0,967480853752611	1,71817318598429
70	Q91VI7		0,831724300990168	3,80437898635864
71	Q99MD9		0,685066066605271	1,18252150217692
72	O88848		1,55224722249142	4,99959023793538
73	Q8K0Z7		2,03306472149402	4,97441450754801
74	P50295		0,830731360659041	1,5822164217631
75	Q8BNU0		1,68486711205546	4,87658214569092
76	P01942		0,460634898429333	1,40154202779134
77	Q9JK48		0,128307026968001	0,278067270914713
78	Q64378		0,345594431628789	1,2241587638855
79	Q8C6E0		0,507740658227095	1,13909403483073
80	Q2TPA8		0,0535936293553082	0,100852330525717
81	Q9D1C1		1,11673934346195	3,11974048614502
82	Q99LC8		1,28973261380594	2,87207810084025
83	Q91WB4		0,528830245314767	-1,97916650772095
84	O09131		0,12101464581811	0,476759910583496
85	Q9D2M8		0,151215378946333	0,733268102010092
86	Q8K1E0		0,524794547210843	1,22245232264201
87	P16858		0,373421282686531	0,508012771606445
88	F7CJ77		0,4672663306437	2,59995937347412
89	Q6P7W5		1,0096710061387	2,40914932886759
90	O88696		0,520635524101621	1,25867875417074
91	Q99KY4		0,189465126001204	0,774494171142578
92	P18654		0,204643385573754	0,636177698771158
93	P50247		0,221018677775636	-0,123539924621582
94	Q3ULD5		0,183478846692849	0,820136388142904
95	Q8VDH1		0,0566226161964081	0,0577999750773124
96	P13439		0,133303256885987	-0,175294558207193
97	Q8K3K7		0,042917985881213	-0,0666087468465175
98	P61082		0,780719800369155	-1,1812105178833
99	Q2TBE6		1,05117980410881	3,03876908620199
100	Q8BXC6		0,223565788856814	0,413836797078449
101	O55091		0,936647304161777	1,80554262797038
