	wt_d3._vs_TET3KO_d3._diff	wt_d3._vs_TET3KO_d3._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
A2M	0.395653165984641	0.840496272466644	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin	
AAAS	-0.809546834377986	0.0007180986199114	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin	
AACS	-0.118121833939281	0.583329600988363	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase	
AADAT	-0.500674654970357	0.157523255592164	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""	2.0
AAGAB	0.129822529309816	0.708776734257332	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	
AAK1	0.767603165938809	0.265274340057908	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)	
AAK1	-0.463446833926792	0.0011027957824533	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1	
AAMDC	-0.492483296829015	0.365542759441751	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein	6.0
AAMP	-0.321271834023698	0.0982395049349259	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein	
AAR2	13.2557044116072	2.86149490945346e-07	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog	3.0
AARS1	0.407878165788262	0.000929761416804	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""	
AARS2	0.12612816614395	0.402055405083757	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""	
