	wt_d1._vs_TET3KO_d1._CI.L	wt_d1._vs_TET3KO_d1._CI.R	wt_d1._vs_TET3KO_d1._diff	wt_d1._vs_TET3KO_d1._p.adj	wt_d1._vs_TET3KO_d1._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
A2M	-3.00353040638176	4.86597756007982	0.931223576849032	0.825308678612921	0.63606073547706	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin
AAAS	-1.09806699408907	-0.199223976326133	-0.648645485207602	0.16803042049773	0.0056245353744149	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin
AACS	-0.384542456414035	0.476251485526358	0.0458545145561615	0.850833077509408	0.831143574409551	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase
AADAT	-0.701386042840801	0.7013860428408	-4.44089209850063e-16	0.867205531394704	0.999999999999999	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""
AAGAB	-1.14351120859426	0.247120237174965	-0.448195485709647	0.686388794459048	0.200933467238762	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34
AAK1	-0.516835168488118	2.22329419793762	0.853229514724752	0.696713561068378	0.216339394315243	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)
AAK1	-0.597952260699414	-0.0620887102135382	-0.330020485456476	0.299659581634331	0.0168868873109935	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1
AAMDC	-1.21533540888398	0.954094438173184	-0.130620485355397	0.848423225015322	0.809557497301034	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein
AAMP	-0.280745553353444	0.485604581867558	0.102429514257057	0.818246667740451	0.593119565092397	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein
AAR2	-4.08698676862292	4.80294579753862	0.357979514457853	0.855167084759379	0.87193094558067	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog
AARS1	0.0902644057802174	0.554194622814209	0.322229514297213	0.197974431179905	0.0075210338873842	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""
AARS2	-0.467943535335606	0.132402564626858	-0.167770485354374	0.724815495380244	0.266416556123132	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""
AARSD1	-0.733795003507422	-0.0747459675885287	-0.404270485547976	0.303102879420639	0.0173024075642017	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1
AASDH	-1.85726169384634	10.7434436731014	4.44309098962752	0.655744411935794	0.162492239811759	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme
AASDHPPT	-0.0680124007213601	0.611221429664662	0.271604514471651	0.602174621682013	0.114288090344782	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	0.0538397558937865	1.01051927317046	0.532179514532121	0.385868093011049	0.0300019525678872	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""
AATF	-0.269702263080067	0.647361291611479	0.188829514265706	0.778456542087237	0.41142688228762	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF
ABAT	0.0820069705063009	1.08180205854285	0.581904514524574	0.348116872072718	0.0235025131748847	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""
ABCA1	-2.78782673224944	4.0384182899147	0.625295778832626	0.836622221117402	0.713995812195686	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1
ABCA2	14.9512953700325	15.8838189113785	15.4175571407055	1.17751939986856e-14	2.0711739014271502e-47	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2
ABCA3	-10.2240330993887	1.23034770144741	-4.49684269897063	0.610879597021216	0.120853108048442	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3
ABCA4	-18.5263173986846	-9.22039417186256	-13.8733557852736	0.0001204740142679	2.8727525607654e-07	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4
ABCA5	-0.872786050091277	0.872786050091281	1.77635683940025e-15	0.867205531394704	0.999999999999997	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5
ABCA9	1.17854292684775	7.5329508074131	4.35574686713042	0.208677157656529	0.0082807935117436	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9
ABCB10	-1.01326774875054	0.352026777646173	-0.330620485552181	0.753850360611585	0.334720864336152	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""
ABCB6	-0.828432234877964	0.579141263863518	-0.124645485507223	0.837835767406316	0.723102121083037	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""
ABCB7	-0.564022079817941	0.575931109071848	0.0059545146269535	0.865754646428041	0.983314056351615	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""
ABCB8	-0.0450571476868556	1.14366617614186	0.549304514227504	0.521688898110915	0.0692435292545337	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit
ABCC1	-0.464106398512534	0.351565427801944	-0.0562704853552951	0.845275189529332	0.782470573941469	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1
ABCC10	-1.05814819675213	0.751661839565689	-0.153243178593222	0.839358649745945	0.734751252691988	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7
ABCC4	-0.991220147944201	0.738429176637009	-0.126395485653596	0.843769389326205	0.769941369479184	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4
ABCC5	-0.846012085518228	0.986821114674075	0.0704045145779233	0.855766722369399	0.877781671845149	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5
ABCD1	-0.740080772364644	1.44433980132004	0.352129514477696	0.804406856161217	0.519597841163133	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1
ABCD2	-4.39151912205015	4.39151912205015	4.44089209850063e-16	0.867205531394704	1.0	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2
ABCD3	-0.223037545547131	0.654296574490774	0.215629514471821	0.751204998958859	0.327624514696	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3
ABCD4	7.31753534652836	20.4039070624917	13.86072120451	0.0135496097269279	9.86765222890615e-05	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4
ABCE1	0.175994569743156	0.790914459115154	0.483454514429155	0.110714806207532	0.0027484220655514	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1
ABCF1	-0.110932164088023	0.382441193251761	0.135754514581869	0.728367016547115	0.273746942216307	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1
ABCF2	-0.0035730554948271	0.698682084518582	0.347554514511877	0.475595536559094	0.0522795888730895	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2
ABCF3	-0.531432765623907	-0.0498582058020581	-0.290645485712982	0.317102758955517	0.019072899341341	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3
ABCG2	-8.82997589256521	0.186326556898263	-4.32182466783348	0.497725681748723	0.0598249511572294	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD10	0.0507191878821315	1.04158984100362	0.546154514442875	0.3933708685247	0.031461885749068	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""
ABHD11	-0.974084834702962	-0.0739561370319868	-0.524020485867474	0.347916020498756	0.0234713800749827	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11
